work_year,experience_level,employment_type,job_title,salary,remote_ratio,company_location,company_size
2020,MI,FT,Data Scientist,70000,0,DE,L
2020,SE,FT,Machine Learning Scientist,260000,0,JP,S
2020,SE,FT,Big Data Engineer,85000,50,GB,M
2020,MI,FT,Product Data Analyst,20000,0,HN,S
2020,SE,FT,Machine Learning Engineer,150000,50,US,L
2020,EN,FT,Data Analyst,72000,100,US,L
2020,SE,FT,Lead Data Scientist,190000,100,US,S
2020,MI,FT,Data Scientist,11000000,50,HU,L
2020,MI,FT,Business Data Analyst,135000,100,US,L
2020,SE,FT,Lead Data Engineer,125000,50,NZ,S
2020,EN,FT,Data Scientist,45000,0,FR,S
2020,MI,FT,Data Scientist,3000000,0,IN,L
2020,EN,FT,Data Scientist,35000,0,FR,M
2020,MI,FT,Lead Data Analyst,87000,100,US,L
2020,MI,FT,Data Analyst,85000,100,US,L
2020,MI,FT,Data Analyst,8000,50,PK,L
2020,EN,FT,Data Engineer,4450000,100,JP,S
2020,SE,FT,Big Data Engineer,100000,100,GB,S
2020,EN,FT,Data Science Consultant,423000,50,IN,M
2020,MI,FT,Lead Data Engineer,56000,100,US,M
2020,MI,FT,Machine Learning Engineer,299000,0,CN,M
2020,MI,FT,Product Data Analyst,450000,100,IN,L
2020,SE,FT,Data Engineer,42000,50,GR,L
2020,MI,FT,BI Data Analyst,98000,0,US,M
2020,MI,FT,Lead Data Scientist,115000,0,AE,L
2020,EX,FT,Director of Data Science,325000,100,US,L
2020,EN,FT,Research Scientist,42000,50,NL,L
2020,SE,FT,Data Engineer,720000,0,MX,S
2020,EN,CT,Business Data Analyst,100000,100,US,L
2020,SE,FT,Machine Learning Manager,157000,50,CA,L
2020,MI,FT,Data Engineering Manager,51999,100,DE,S
2020,EN,FT,Big Data Engineer,70000,100,US,L
2020,SE,FT,Data Scientist,60000,100,US,L
2020,MI,FT,Research Scientist,450000,0,US,M
2020,MI,FT,Data Analyst,41000,50,FR,L
2020,MI,FT,Data Engineer,65000,50,AT,L
2020,MI,FT,Data Science Consultant,103000,100,US,L
2020,EN,FT,Machine Learning Engineer,250000,50,US,L
2020,EN,FT,Data Analyst,10000,100,NG,S
2020,EN,FT,Machine Learning Engineer,138000,100,US,S
2020,MI,FT,Data Scientist,45760,100,US,S
2020,EX,FT,Data Engineering Manager,70000,50,ES,L
2020,MI,FT,Machine Learning Infrastructure Engineer,44000,0,PT,M
2020,MI,FT,Data Engineer,106000,100,US,L
2020,MI,FT,Data Engineer,88000,50,GB,L
2020,EN,PT,ML Engineer,14000,100,DE,S
2020,MI,FT,Data Scientist,60000,100,GB,S
2020,SE,FT,Data Engineer,188000,100,US,L
2020,MI,FT,Data Scientist,105000,100,US,L
2020,MI,FT,Data Engineer,61500,50,FR,L
2020,EN,FT,Data Analyst,450000,0,IN,S
2020,EN,FT,Data Analyst,91000,100,US,L
2020,EN,FT,AI Scientist,300000,50,DK,S
2020,EN,FT,Data Engineer,48000,100,DE,L
2020,SE,FL,Computer Vision Engineer,60000,100,US,S
2020,SE,FT,Principal Data Scientist,130000,100,DE,M
2020,MI,FT,Data Scientist,34000,100,ES,M
2020,MI,FT,Data Scientist,118000,100,US,M
2020,SE,FT,Data Scientist,120000,50,US,L
2020,MI,FT,Data Scientist,138350,100,US,M
2020,MI,FT,Data Engineer,110000,100,US,L
2020,MI,FT,Data Engineer,130800,100,US,M
2020,EN,PT,Data Scientist,19000,50,IT,S
2020,SE,FT,Data Scientist,412000,100,US,L
2020,SE,FT,Machine Learning Engineer,40000,100,HR,S
2020,EN,FT,Data Scientist,55000,50,DE,S
2020,EN,FT,Data Scientist,43200,0,DE,S
2020,SE,FT,Data Science Manager,190200,100,US,M
2020,EN,FT,Data Scientist,105000,100,US,S
2020,SE,FT,Data Scientist,80000,0,AT,S
